federal_state,administrative_district,district,verb,municipality,city,postal_code,area_m2,total_population,male_population,female_population,population_density_km2,municipality_type,rental_level,average_price_m2,price_index_housing_costs,longitude,latitude,Population_Difference,male_to_female_ratio
11,0,0,0,0,Berlin,10178,891.12,3755251,1843196,1912055,4214,1.0,4.0,4973.0,110.1,13.405538,52.51767,-68859,0.963986914602352
2,0,0,0,0,Hamburg,20095,755.09,1892122,925616,966506,2506,1.0,6.0,5148.44,109.1,9.99697,53.550678,-40890,0.9576929682795554
9,1,62,0,0,München,80331,310.7,1512491,736806,775685,4868,1.0,7.0,8748.5,110.5,11.575997,48.137683,-38879,0.9498778499004106
5,3,15,0,0,Köln,50667,405.02,1084831,526588,558243,2678,1.0,7.0,4033.56,110.4,6.957068,50.938107,-31655,0.9432953032998175
6,4,12,0,0,Frankfurt am Main,60311,248.31,773068,380566,392502,3113,1.0,6.0,4924.75,109.8,8.682433,50.11088,-11936,0.9695899638727955
8,1,11,0,0,Stuttgart,70173,207.33,632865,315634,317231,3052,1.0,6.0,4390.49,109.5,9.177734,48.775817,-1597,0.9949658135554218
5,1,11,0,0,Düsseldorf,40213,217.41,629047,303510,325537,2893,1.0,6.0,4494.83,110.4,6.780068,51.22422,-22027,0.9323364164442137
14,7,13,0,0,Leipzig,4109,297.8,616093,302741,313352,2069,1.0,6.0,2724.81,110.3,12.377931,51.338288,-10611,0.9661371237458194
5,9,13,0,0,Dortmund,44135,280.71,593317,290847,302470,2114,1.0,2.0,2224.41,110.4,7.464165,51.514171,-11623,0.9615730485668
5,1,13,0,0,Essen,45127,210.34,584580,284152,300428,2779,1.0,1.0,3179.0,110.4,7.012583,51.455843,-16276,0.9458239578201766
4,0,11,0,0,Bremen,28195,318.2,569396,280842,288554,1789,1.0,3.0,2819.0,113.0,8.809338,53.075606,-7712,0.9732736333580543
14,6,12,0,0,Dresden,1067,328.48,563311,279338,283973,1715,1.0,3.0,3342.25,110.3,13.736883,51.051697,-4635,0.983678025727798
3,2,41,1,1,Hannover,30159,204.3,545045,266093,278952,2668,1.0,4.0,3576.5,110.0,9.738084,52.374551,-12859,0.9539024635062663
